iter	Passed	Remaining
762	3208	996
763	3214	992
764	3219	988
765	3224	985
766	3229	981
767	3234	977
768	3239	973
769	3245	969
770	3252	966
771	3258	962
772	3263	958
773	3270	955
774	3276	951
775	3283	947
776	3289	943
777	3294	940
778	3300	936
779	3305	932
780	3309	928
781	3313	923
782	3319	919
783	3323	915
784	3326	911
785	3332	907
786	3335	902
787	3340	898
788	3343	894
789	3348	890
790	3353	886
791	3358	881
792	3361	877
793	3365	873
794	3369	868
795	3373	864
796	3376	859
797	3379	855
798	3382	850
799	3385	846
800	3389	841
801	3392	837
802	3395	833
803	3398	828
804	3401	824
805	3405	819
806	3407	815
807	3411	810
808	3413	805
809	3416	801
810	3419	796
811	3423	792
812	3425	787
813	3428	783
814	3431	778
815	3434	774
816	3438	770
817	3441	765
818	3445	761
819	3448	756
820	3451	752
821	3455	748
822	3458	743
823	3462	739
824	3466	735
825	3469	730
826	3473	726
827	3476	722
828	3479	717
829	3483	713
830	3487	709
831	3491	704
832	3494	700
833	3497	696
834	3500	691
835	3504	687
836	3507	683
837	3510	678
838	3513	674
839	3516	669
840	3519	665
841	3523	661
842	3526	656
843	3529	652
844	3533	648
845	3536	643
846	3540	639
847	3543	635
848	3546	630
849	3550	626
850	3553	622
851	3557	617
852	3561	613
853	3564	609
854	3567	605
855	3571	600
856	3574	596
857	3578	592
858	3582	588
859	3586	583
860	3589	579
861	3592	575
862	3596	570
863	3600	566
864	3603	562
865	3606	558
866	3609	553
867	3612	549
868	3615	544
869	3617	540
870	3620	536
871	3623	531
872	3626	527
873	3629	523
874	3631	518
875	3634	514
876	3637	510
877	3640	505
878	3643	501
879	3646	497
880	3648	492
881	3652	488
882	3655	484
883	3658	480
884	3661	475
885	3664	471
886	3667	467
887	3670	462
888	3672	458
889	3676	454
890	3679	450
891	3682	445
892	3685	441
893	3687	437
894	3691	433
895	3694	428
896	3697	424
897	3700	420
898	3703	416
899	3706	411
900	3709	407
901	3711	403
902	3714	399
903	3717	394
904	3720	390
905	3723	386
906	3726	382
907	3728	377
908	3732	373
909	3736	369
910	3739	365
911	3741	361
912	3744	356
913	3748	352
914	3751	348
915	3754	344
916	3758	340
917	3761	336
918	3764	331
919	3767	327
920	3770	323
921	3773	319
922	3777	315
923	3780	310
924	3783	306
925	3786	302
926	3789	298
927	3791	294
928	3795	290
929	3797	285
930	3800	281
931	3803	277
932	3806	273
933	3809	269
934	3811	265
935	3814	260
936	3817	256
937	3820	252
938	3822	248
939	3825	244
940	3828	240
941	3831	235
942	3834	231
943	3837	227
944	3840	223
945	3843	219
946	3847	215
947	3850	211
948	3853	207
949	3855	202
950	3858	198
951	3861	194
952	3864	190
953	3867	186
954	3870	182
955	3874	178
956	3877	174
957	3879	170
958	3882	166
959	3885	161
960	3888	157
961	3891	153
962	3894	149
963	3896	145
964	3900	141
965	3902	137
966	3905	133
967	3908	129
968	3911	125
969	3914	121
970	3916	116
971	3919	112
972	3922	108
973	3925	104
974	3928	100
975	3931	96
976	3933	92
977	3936	88
978	3939	84
979	3943	80
980	3946	76
981	3949	72
982	3951	68
983	3954	64
984	3957	60
985	3960	56
986	3963	52
987	3966	48
988	3970	44
989	3972	40
990	3975	36
991	3978	32
992	3981	28
993	3984	24
994	3987	20
995	3989	16
996	3992	12
997	3995	8
998	3998	4
999	4001	0
